DateTime,GroupID,RoomTemperatureDegF,BulbTemperatureDegF,TestNumber
4/6/2016 16:44,T,75.56,0,0
4/6/2016 16:45,T,75.56,0,0
4/6/2016 16:46,T,75.56,0,0
4/6/2016 16:47,T,75.56,0,0
4/6/2016 16:48,T,75.56,0,0
4/6/2016 16:49,T,75.56,0,0
4/6/2016 16:50,T,75.56,0,0
4/6/2016 16:51,T,75.56,0,0
4/6/2016 16:52,T,75.69,0,0
4/6/2016 16:53,T,75.69,0,0
4/6/2016 16:54,T,75.69,0,0
4/6/2016 16:55,T,75.43,0,0
4/6/2016 16:56,T,75.43,0,0
4/6/2016 16:57,T,75.43,0,0
4/6/2016 16:58,T,75.43,0,0
4/6/2016 16:59,T,75.43,0,0
4/6/2016 17:00,T,75.43,0,0
4/6/2016 17:01,T,75.43,0,0
4/6/2016 17:02,T,75.43,0,0
4/6/2016 17:03,T,75.43,0,0
4/6/2016 17:04,T,75.43,0,0
4/6/2016 17:05,T,75.43,0,0
4/6/2016 17:06,T,75.43,0,0
4/6/2016 17:07,T,75.43,0,0
4/6/2016 17:08,T,75.43,0,0
4/6/2016 17:09,T,75.43,0,0
4/6/2016 17:10,T,75.43,0,0
4/6/2016 17:11,T,75.43,0,0
4/6/2016 17:12,T,75.47,0,0
4/6/2016 17:13,T,75.47,0,0
4/6/2016 17:14,T,75.47,0,0
4/6/2016 17:15,T,75.47,0,0
4/6/2016 17:16,T,75.21,0,0
4/6/2016 17:17,T,75.21,0,0
4/6/2016 17:18,T,75.21,0,0
4/6/2016 17:19,T,75.21,0,0
4/6/2016 17:20,T,75.21,0,0
4/6/2016 17:21,T,75.21,0,0
4/6/2016 17:22,T,75.21,0,0
4/6/2016 17:23,T,75.21,0,0
4/6/2016 17:24,T,75.21,0,0
4/6/2016 17:25,T,75.21,0,0
4/6/2016 17:26,T,75.21,0,0
4/6/2016 17:27,T,75.21,0,0
4/6/2016 17:28,T,75.21,0,0
4/6/2016 17:29,T,75.21,0,0
4/6/2016 17:30,T,75.21,0,0
4/6/2016 17:31,T,75.21,0,0
4/6/2016 17:32,T,75.21,0,0
4/6/2016 17:33,T,75.21,0,0
4/6/2016 17:34,T,75.21,0,0
4/6/2016 17:35,T,75.21,0,0
4/6/2016 17:36,T,75.21,0,0
4/6/2016 17:37,T,75.21,0,0
4/6/2016 17:38,T,75.21,0,0
4/6/2016 17:39,T,75.21,0,0
4/6/2016 17:40,T,75.21,0,0
4/6/2016 17:41,T,75.21,0,0
4/6/2016 17:42,T,75.21,0,0
4/6/2016 17:42,D,,86.29,1
4/6/2016 17:42,D,,84.57,1
4/6/2016 17:43,D,,85.98,1
4/6/2016 17:43,D,,87.38,1
4/6/2016 17:43,D,,88.22,1
4/6/2016 17:43,T,75.21,0,0
4/6/2016 17:43,D,,88.75,1
4/6/2016 17:43,D,,89.54,1
4/6/2016 17:43,D,,89.93,1
4/6/2016 17:44,D,,87.74,1
4/6/2016 17:44,D,,85.32,1
4/6/2016 17:44,D,,84.88,1
4/6/2016 17:44,T,75.21,0,0
4/6/2016 17:44,D,,86.95,1
4/6/2016 17:44,D,,88.31,1
4/6/2016 17:44,D,,89.32,1
4/6/2016 17:45,D,,89.93,1
4/6/2016 17:45,D,,90.15,1
4/6/2016 17:45,D,,88.26,1
4/6/2016 17:45,T,75.21,0,0
4/6/2016 17:45,D,,85.45,1
4/6/2016 17:45,D,,84.88,1
4/6/2016 17:45,D,,85.85,1
